year,title,pdf_link,Type,ODP reused?,ODP resued names,ODPs links,ontology_available?,Ontology link,
2015,An Ontology Design Pattern for Particle Physics Analysis,https://ceur-ws.org/Vol-1461/WOP2015_pattern_abstract_5.pdf,ODP,FALSE,,https://www.dropbox.com/sh/0upr45j1awd4q0d/AAAw9BQ2eZIWBIh_rBpP1Uu1a?dl=0,FALSE,,
2015,DIO: A Pattern for Capturing the Intents Underlying Designs,https://ceur-ws.org/Vol-1461/WOP2015_pattern_abstract_6.pdf,ODP,FALSE,,http://purl.org/dio/,FALSE,,
2015,The Hazardous Situation Ontology Design Pattern,https://ceur-ws.org/Vol-1461/WOP2015_pattern_abstract_7.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:HazardousSituation,FALSE,,
2016,Designing a Map Legend Ontology for Enabling Map Content Search,http://ontologydesignpatterns.org/images/8/85/WOP2016_paper_11.pdf,Ontology,FALSE,,,TRUE,http://stko-exp.geog.ucsb.edu/mlo/map_legend_ontology.owl,
2016,Ranging the Description Ontology Design Pattern with Literal Values,http://ontologydesignpatterns.org/images/a/a9/WOP2016_paper_12.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:Description_in_Range,FALSE,,
2016,Complaint Ontology Pattern - COP,http://ontologydesignpatterns.org/images/1/16/WOP2016_paper_09.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:COP,FALSE,,
2016,The Algorithm-Implementation-Execution Ontology Design Pattern,http://ontologydesignpatterns.org/images/4/41/WOP2016_paper_07.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:AlgorithmImplementationExecution,FALSE,,
2016,A Spatiotemporal Extent Pattern based on Semantic Trajectories,http://ontologydesignpatterns.org/images/5/55/WOP2016_paper_06.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:SpatioTemporalExtent,FALSE,,
2016,A Core Pattern for Events,http://ontologydesignpatterns.org/images/5/52/WOP2016_paper_04.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:EventCore,FALSE,,
2016,The Reporting Event Ontology Design Pattern,http://ontologydesignpatterns.org/images/a/ac/WOP2016_paper_18.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:ReportingEvent,FALSE,,
2016,A Modification to the Hazardous Situation ODP to Support Risk Assessment and Mitigation,http://ontologydesignpatterns.org/images/8/80/WOP2016_paper_16.pdf,ODP,FALSE,,,FALSE,,
2016,An Ontology Design Pattern for supporting behaviour arbitration in cognitive agents,http://ontologydesignpatterns.org/images/0/03/WOP2016_paper_13.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:Affordance,FALSE,,
2016,LoSe ODP - An Ontology Design Pattern for Logistics Services,http://ontologydesignpatterns.org/images/f/fb/WOP2016_paper_14.pdf,ODP,FALSE,,,FALSE,,
2016,Template-Based Content ODP Instantiation,http://ontologydesignpatterns.org/images/1/11/WOP2016_paper_01.pdf,Other,FALSE,,,FALSE,,
2016,How to Document Ontology Design Patterns,http://ontologydesignpatterns.org/images/f/fc/WOP2016_paper_02.pdf,Documentation Study,FALSE,,,FALSE,,
2016,The Stub Metapattern,http://ontologydesignpatterns.org/images/f/f3/WOP2016_paper_05.pdf,ODP,TRUE,,http://ontologydesignpatterns.org/wiki/Submissions:Stub_Metapattern,FALSE,,
2017,On the Ontological Modeling of Trees,https://ceur-ws.org/Vol-2043/paper-01.pdf,ODP,TRUE,"List,Sequence",,FALSE,,
2017,Towards a Simple but Useful Ontology Design Pattern Representation Language,https://ceur-ws.org/Vol-2043/paper-09.pdf,Pattern Language,FALSE,,,FALSE,,
2017,Generic Ontologies and Generic Ontology Design Patterns,https://ceur-ws.org/Vol-2043/paper-02.pdf,ODP,TRUE,,https://ontohub.org/godp,FALSE,,
2017,Pattern-Based Ontology Design and Instantiation with Reasonable Ontology Templates,https://ceur-ws.org/Vol-2043/paper-04.pdf,Other,TRUE,,http://www.ottr.xyz,FALSE,,
2017,Pattern Alternatives for Referring to Multiple Indirectly Specified Objects,https://ceur-ws.org/Vol-2043/paper-08.pdf,ODP,FALSE,,,FALSE,,
2017,A Pattern-based Ontology for the Internet of Things,https://ceur-ws.org/Vol-2043/paper-11.pdf,Ontology,TRUE,"Region,Collection",http://stlab.istc.cnr.it/IoT-AP/IoT-AP.rdf,TRUE,http://stlab.istc.cnr.it/IoT-AP/IoT-AP.rdf,
2017,Computational Environment: An ODP to Support Finding and Recreating Computational Analyses,https://ceur-ws.org/Vol-2043/paper-03.pdf,ODP,FALSE,,,FALSE,,
2017,Defining Activity Specifications in OWL,https://ceur-ws.org/Vol-2043/paper-07.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:ActivitySpecification,FALSE,,
2017,A Logical Pattern for Representing Change Over Time in OWL,https://ceur-ws.org/Vol-2043/paper-05.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:Change of Time Varying Entities,FALSE,,
2017,An Ontology Design Pattern for Microblog Entries,https://ceur-ws.org/Vol-2043/paper-06.pdf,ODP,FALSE,,https://raw.githubusercontent.com/cogan-shimizu-wsu/MicroblogEntryOWL/master/MicroblogEntry.owl,FALSE,,
2018,Ontology Design Patterns for Winston's Taxonomy of Part-Whole Relations,https://ceur-ws.org/Vol-2195/pattern_paper_1.pdf,ODP,TRUE,,http://ontologydesignpatterns.org/wiki/Submissions:Winstons_Taxonomy,FALSE,,
2018,Two Ontology Design Patterns toward Energy Efficiency in Buildings,https://ceur-ws.org/Vol-2195/pattern_paper_2.pdf,ODP,TRUE,,http://ontologydesignpatterns.org/wiki/Submissions:Energy_Efficiency,FALSE,,
2018,An Ontology Design Pattern for Describing Personal Data in Privacy Policies,https://ceur-ws.org/Vol-2195/pattern_paper_3.pdf,Ontology,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:PrivacyPolicyPersonalData,TRUE,https://www.w3.org/community/dpvcg/wiki/GDPRtEXT,
2018,Towards a Pattern-Based Ontology for Chemical Laboratory Procedures,https://ceur-ws.org/Vol-2195/research_paper_1.pdf,ODP,TRUE,,https://daselab.org/chemicalprocesspattern/,FALSE,,
2018,Towards Improving the Quality of Knowledge Graphs with Data-driven Ontology Patterns and SHACL,https://ceur-ws.org/Vol-2195/research_paper_2.pdf,Other,FALSE,,,FALSE,,
2018,Using Ontology Design Patterns To Define SHACL Shapes,https://ceur-ws.org/Vol-2195/research_paper_3.pdf,ODP,TRUE,,http://ontologydesignpatterns.org/wiki/Submissions:SHACL_Shapes,FALSE,,
2018,Methods and Metrics for Knowledge Base Engineering and Integration,https://ceur-ws.org/Vol-2195/research_paper_4.pdf,Other,FALSE,,,FALSE,,
2018,Making a Case for Formal Relations over Ontology Patterns,https://ceur-ws.org/Vol-2195/research_paper_5.pdf,Other,FALSE,,,FALSE,,
2018,A Pattern-Based Core Ontology for Product Lifecycle Management based on DUL,https://ceur-ws.org/Vol-2195/research_paper_6.pdf,Ontology,TRUE,Product Part Information Entity Pattern,http://ontologydesignpatterns.org/wiki/Submissions:DUL_Lifecycle,TRUE,https://github.com/FSCHOEN/CO-PLM,
2019,OD2WD: From Open Data to Wikidata through Patterns,https://ceur-ws.org/Vol-2459/paper1.pdf,Other,FALSE,,,FALSE,,
2019,Comparing Approaches for Capturing Repetitive Structures in Ontology Design Patterns,https://ceur-ws.org/Vol-2459/paper2.pdf,ODP,FALSE,,http://odps.sourceforge.net/odp/owl/Good_Practice_ODP/Entity_Property_Quality.owl,FALSE,,
2019,Ontology Design Patterns for Representing Context in Ontologies using Aspect Orientation,https://ceur-ws.org/Vol-2459/paper3.pdf,ODP,FALSE,,https://odp.aspectowl.xyz/aspect/0.1/TopologicalAspect,FALSE,,
2019,MODL: A Modular Ontology Design Library,https://ceur-ws.org/Vol-2459/paper4.pdf,Other,FALSE,,,FALSE,,
2019,An Ontology Design Pattern for Representing Recurrent Events,https://ceur-ws.org/Vol-2459/pattern1.pdf,ODP,TRUE,,,FALSE,,
2019,ODPReco - A Tool to Recommend Ontology Design Patterns,https://ceur-ws.org/Vol-2459/short1.pdf,Tool,FALSE,,,FALSE,,
2019,Extensions to the Ontology Design Pattern Representation Language,https://ceur-ws.org/Vol-2459/short2.pdf,Other,TRUE,,,FALSE,,
2021,OPLaX: Annotating Ontology Design Patterns at Conceptual and Instance Level,https://ceur-ws.org/Vol-3011/paper1.pdf,ODP,FALSE,,,FALSE,,
2021,Aligning Patterns to the Wikibase Model,https://ceur-ws.org/Vol-3011/paper2.pdf,Other,FALSE,,,FALSE,,
2021,Mapping Biographical Events to ODPs Through Lexico-Semantic Patterns,https://ceur-ws.org/Vol-3011/paper3.pdf,Other,FALSE,,,FALSE,,
2021,A Pattern for Modeling Causal Relations Between Events,https://ceur-ws.org/Vol-3011/pattern1.pdf,ODP,FALSE,https://github.com/KnowWhereGraph/causal-events-pattern,,,,
2021,The Music Note Ontology,https://ceur-ws.org/Vol-3011/pattern2.pdf,Ontology,TRUE,,https://purl.org/andreapoltronieri/notepattern,TRUE,https://github.com/polifonia-project/music-representation-ontology,
2021,An Ontology Design Pattern for Modeling Pollution,https://ceur-ws.org/Vol-3011/pattern3.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:Pollution,FALSE,,
2022,SoCK: SHACL on Completeness Knowledge,https://ceur-ws.org/Vol-3352/paper1.pdf,Other,FALSE,,,FALSE,,
2022,Introducing ODIN: Ontological Design grounded in Image-schematic kNowledge,https://ceur-ws.org/Vol-3352/paper2.pdf,KG,TRUE,,http://ontologydesignpatterns.org/wiki/Submissions:ContentOPs,TRUE,https://github.com/StenDoipanni/ODIN,
2022,An Ontology Design Pattern for Historical Metrological Practices,https://ceur-ws.org/Vol-3352/pattern1.pdf,ODP,FALSE,,http://ontologydesignpatterns.org/wiki/Submissions:HistoricalMetrology,FALSE,,
2022,The Music Annotation Pattern,https://ceur-ws.org/Vol-3352/pattern2.pdf,ODP,FALSE,,,FALSE,,
2022,A Pattern for Representing Scientific Taxonomies,https://ceur-ws.org/Vol-3352/pattern3.pdf,ODP,FALSE,,https://github.com/shirlysteph/taxonomy-odp,FALSE,,
2022,An Ontology Design Pattern for Spatial and Temporal Aggregate Data (STAD),https://ceur-ws.org/Vol-3352/pattern4.pdf,ODP,FALSE,,https://theskailab.github.io/STAD/stad.html,,,
2022,A Pattern for Modeling Computational Observations,https://ceur-ws.org/Vol-3352/pattern5.pdf,ODP,FALSE,,,,,
2023,Cross-domain Modelling - A Network of Core Ontologies for the Circular Economy,https://ceur-ws.org/Vol-3636/paper1.pdf,Ontology,TRUE,"Participation,ParticipantRole",,TRUE,https://liusemweb.github.io/CEON/ontology/cvn/0.1/index.html,
2023,OWL Paths: A library for processing SPARQL-like property paths over OWL classes,https://ceur-ws.org/Vol-3636/paper2.pdf,Other,FALSE,,,FALSE,,
2023,Pattern-based design for modelling an ontology network in the water and health domains,https://ceur-ws.org/Vol-3636/paper3.pdf,Ontology,TRUE,PartOf ODP,http://ontologydesignpatterns.org/wiki/Submissions:PartOf,TRUE,https://github.com/whow-project/assets/tree/main,
2023,An Ontology Design Pattern for Representing Causality,https://ceur-ws.org/Vol-3636/paper4.pdf,ODP,FALSE,,https://github.com/utkarshani/CausalPattern,FALSE,,
2023,Using Patterns to Manage Governance of Solid Apps,https://ceur-ws.org/Vol-3636/paper5.pdf,Other,FALSE,,,FALSE,,
2023,An Ontology Design Pattern for Role-Dependent Names,https://ceur-ws.org/Vol-3636/paper6.pdf,ODP,FALSE,,,FALSE,,
2023,Modelling Sustainability for an IoT-enabled Smart Green Campus using an Ontology-based Approach,https://ceur-ws.org/Vol-3636/paper7.pdf,Ontology,FALSE,,,FALSE,,
2023,Insights from an OTTR-centric Ontology Engineering Methodology,https://ceur-ws.org/Vol-3636/paper8.pdf,Methodology,TRUE,,,FALSE,,
2023,Pattern Comparison of is-a Concepts for Ontology Localisation,https://ceur-ws.org/Vol-3636/paper9.pdf,Evaluation,TRUE,,,FALSE,,
2023,SAREF4SYST: a SAREF Reference Ontology Pattern for Representing Systems and their Interconnections,https://ceur-ws.org/Vol-3636/paper10.pdf,Ontology,FALSE,,,TRUE,https://saref.etsi.org/patterns/,
2024,Kind of X and X of Interest: An Ontology Design Pattern to Reconcile Web of Thing Ontologies,https://hal.science/hal-04765079v1/document,Ontology,FALSE,,https://coswot.gitlab.io/,TRUE,https://gitlab.com/coswot/coswot-acimov,
2024,One pattern to express them all? Towards Generalised Patterns for Ontology Design in the Digital Humanities,https://openreview.net/attachment?id=31KShmkYjKQmEqHcXRqDaa&name=pdf,Review,TRUE,,,FALSE,,
2024,Phased Evaluation of Ontologies with Domain and Ontology Experts,https://openreview.net/attachment?id=XwhC8r3qAh2thqZbdsfEXq&name=pdf,Other,FALSE,,,FALSE,,
2024,Towards Computable and Explainable Policies Using Semantic Web Standards,https://openreview.net/attachment?id=5q9yWEgekjQjif4UUBexFc&name=pdf,Other,FALSE,,,FALSE,,
2024,Ontology Design Metapattern for RelationType Role Compositions,https://openreview.net/attachment?id=CJtuqSHwgkky4M2B3v6Yvh&name=pdf,Other,FALSE,,,FALSE,,
2024,IndiLegalOnt: An Ontology for the Indian Legal System,https://openreview.net/pdf?id=HPGx7Stmse,Ontology,FALSE,,,TRUE,https://github.com/kracr/indian-legal-ontology,
2025,Is SHACL Suitable for Data Quality Assessment?,https://ceur-ws.org/Vol-4093/paper1.pdf,Other,FALSE,,,FALSE,,
2025,AISHIP: An Ontology for Extended Vessel Representation and Multimodal Data Integration,https://ceur-ws.org/Vol-4093/paper2.pdf,Ontology,FALSE,,,TRUE,https://zenodo.org/records/16729401,
2025,BEAR: A Value-First Ontology Engineering Framework for Business Ecosystem Analysis and Representation,https://ceur-ws.org/Vol-4093/paper3.pdf,Other,FALSE,,,FALSE,,
2025,ARGOS: Ontology Design Patterns for Governing Dynamic Data Operations in LLM-Powered Applications,https://ceur-ws.org/Vol-4093/paper4.pdf,Ontology,FALSE,,,TRUE,https://tetherless-world.github.io/argos/ontology.html,
2025,MQTT4SSN: An Ontology for the MQTT Message Protocol,https://ceur-ws.org/Vol-4093/paper7.pdf,Ontology,FALSE,,,TRUE,https://doernern.github.io/MQTT4SSNOntology/MQTT4SSN.owl,
2025,Capturing Requests and Context for ODRL-based Access and Usage Control,https://ceur-ws.org/Vol-4093/paper5.pdf,Ontology,FALSE,,,TRUE,https://spec.knows.idlab.ugent.be/sotw/latest/,
2025,Incentivizing Sustainable Data Exchanges through Unique Contextualization of History and Destiny,https://ceur-ws.org/Vol-4093/paper6.pdf,Other,FALSE,,,FALSE,,
2025,An Ontology Design Pattern for Representing Temporal Indirection,https://ceur-ws.org/Vol-4093/paper8.pdf,ODP,FALSE,,,,,github link is not available